File,Size,BlockSize,CompressionRatio,Time,Memory
fields.c,11150,900000,61.00,0.020,335
samba,21606400,900000,76.06,15.454,31424
book1,768771,900000,66.35,0.491,22780
progp,49379,900000,74.11,0.043,1464
kennedy.xls,1029744,900000,81.75,0.441,26555
large_binary.bin,10485760,900000,-1.21,4.491,36735
paper3,46526,900000,60.79,0.021,1385
geo,102400,900000,35.91,0.052,3069
sum,38240,900000,60.54,0.020,1140
large_text.txt,11572073,900000,69.16,8.304,29856
ptt5,513216,900000,89.58,0.074,15092
osdb,10085684,900000,69.07,6.331,29419
asyoulik.txt,125179,900000,64.35,0.074,3715
xargs.1,4227,900000,32.48,0.002,131
cp.html,24603,900000,62.22,0.012,734
dickens,10192446,900000,69.29,7.436,29428
pic,513216,900000,89.58,0.073,15092
webster,41458703,900000,76.69,26.516,35808
paper2,82199,900000,65.52,0.048,2440
obj1,21504,900000,43.81,0.009,646
progl,71646,900000,74.63,0.045,2121
x-ray,8474240,900000,45.22,3.601,30905
bib,111261,900000,71.92,0.066,3295
obj2,246814,900000,65.75,0.173,7318
nci,33553445,900000,93.38,35.797,28541
plrabn12.txt,481861,900000,66.26,0.328,14280
paper1,53161,900000,64.10,0.031,1581
grammar.lsp,3721,900000,36.09,0.002,116
trans,93695,900000,77.53,0.064,2770
news,377109,900000,65.00,0.260,11182
sao,7251944,900000,25.33,3.950,31660
progc,39611,900000,62.86,0.023,1179
book2,610856,900000,71.37,0.414,18071
ooffice,6152192,900000,49.46,5.423,29408
